homestay_id,homestay_name,host_name,district,village_town,latitude,longitude,property_type,room_count,max_guests,price_per_night_inr,breakfast_included,wifi,parking,pet_friendly,local_food_available,eco_certified,solar_power,rainwater_harvesting,waste_management_score,sustainability_score,avg_rating,review_count,nearest_attraction,attraction_distance_km,image_url
AHM001,Brahmaputra Eco Stay,Ranjit Bora,Majuli,Kamalabari,26.9521,94.2034,Bamboo Cottage,5,14,2400,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,8,8.7,4.6,124,Majuli Satra,3.4,https://images.unsplash.com/photo-1506744038136-46273834b3fb
AHM002,Kaziranga Green Nest,Dipali Saikia,Golaghat,Kohora,26.5775,93.1711,Eco Lodge,8,20,3200,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,9.1,4.8,201,Kaziranga National Park,1.2,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267
AHM003,Tea Garden Retreat,Manab Gogoi,Jorhat,Mariani,26.6570,94.3153,Tea Estate Stay,6,18,2900,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,7,8.2,4.4,97,Tocklai Tea Research Centre,6.8,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
AHM004,Haflong Hill View,Esther Langthasa,Dima Hasao,Haflong,25.1640,93.0172,Hill Cottage,4,10,3500,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,8.9,4.7,143,Haflong Lake,2.1,https://images.unsplash.com/photo-1449824913935-59a10b8d2000
AHM005,Sualkuchi Silk Homestay,Pranita Devi,Kamrup,Sualkuchi,26.1684,91.5711,Traditional House,3,8,1800,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,6,7.1,4.2,65,Silk Weaving Centre,0.8,https://images.unsplash.com/photo-1494526585095-c41746248156
AHM006,Manas Jungle Camp,Bhaben Narzary,Baksa,Barpeta Road,26.6594,91.0011,Jungle Camp,7,22,4100,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,10,9.5,4.9,276,Manas National Park,0.9,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee
AHM007,Dibrugarh Tea Bliss,Kaberi Phukan,Dibrugarh,Naharkatia,27.2898,95.3421,Tea Bungalow,5,12,3700,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,7,8.5,4.5,88,Tea Garden Trail,4.6,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85
AHM008,Karbi Tribal Homestay,Rongpi Teron,Karbi Anglong,Diphu,25.8431,93.4312,Tribal Bamboo House,4,11,2200,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,8.8,4.6,72,Botanical Garden,5.5,https://images.unsplash.com/photo-1512917774080-9991f1c4c750
AHM009,Sivasagar Heritage Inn,Hemanta Dutta,Sivasagar,Sivasagar Town,26.9826,94.6376,Heritage Home,6,16,3100,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,7,7.9,4.3,109,Rang Ghar,1.7,https://images.unsplash.com/photo-1464890100898-a385f744067f
AHM010,Pobitora Rhino Stay,Junali Das,Morigaon,Mayong,26.2448,92.0211,Eco Cottage,5,13,2600,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,8.6,4.7,132,Pobitora Wildlife Sanctuary,2.5,https://images.unsplash.com/photo-1505692952047-1a78307da8f2
